id,name,state,area,,,,
,"Adelaide","SA",76,,,,
,"Aston","Vic.",96,,,,
,"Ballarat","Vic.",4652,,,,
,"Banks","NSW",49,,,,
,"Barker","SA",63886,,,,
,"Barton","NSW",44,,,,
,"Bass","Tas.",7378,,,,
,"Batman","Vic.",53,,,,
,"Bendigo","Vic.",7286,,,,
,"Bennelong","NSW",58,,,,
,"Berowra","NSW",782,,,,
,"Blair","Qld",6409,,,,
,"Blaxland","NSW",62,,,,
,"Bonner","Qld",360,,,,
,"Boothby","SA",130,,,,
,"Bowman","Qld",537,,,,
,"Braddon","Tas.",20826,,,,
,"Bradfield","NSW",99,,,,
,"Brand","WA",411,,,,
,"Brisbane","Qld",58,,,,
,"Bruce","Vic.",68,,,,
,"Calare","NSW",30526,,,,
,"Calwell","Vic.",504,,,,
,"Canberra","ACT",1921,,,,
,"Canning","WA",6178,,,,
,"Capricornia","Qld",91049,,,,
,"Casey","Vic.",409,,,,
,"Charlton","NSW",688,,,,
,"Chifley","NSW",135,,,,
,"Chisholm","Vic.",61,,,,
,"Cook","NSW",100,,,,
,"Corangamite","Vic.",7724,,,,
,"Corio","Vic.",815,,,,
,"Cowan","WA",180,,,,
,"Cowper","NSW",7861,,,,
,"Cunningham","NSW",721,,,,
,"Curtin","WA",104,,,,
,"Dawson","Qld",14945,,,,
,"Deakin","Vic.",61,,,,
,"Denison","Tas.",288,,,,
,"Dickson","Qld",722,,,,
,"Dobell","NSW",775,,,,
,"Dunkley","Vic.",138,,,,
,"Durack","WA",1587758,,,,
,"Eden-Monaro","NSW",29499,,,,
,"Fadden","Qld",395,,,,
,"Fairfax","Qld",1036,,,,
,"Farrer","NSW",247097,,,,
,"Fisher","Qld",1170,,,,
,"Flinders","Vic.",1955,,,,
,"Flynn","Qld",133063,,,,
,"Forde","Qld",419,,,,
,"Forrest","WA",12781,,,,
,"Fowler","NSW",69,,,,
,"Franklin","Tas.",6514,,,,
,"Fraser","ACT",513,,,,
,"Fremantle","WA",201,,,,
,"Gellibrand","Vic.",91,,,,
,"Gilmore","NSW",4878,,,,
,"Gippsland","Vic.",33264,,,,
,"Goldstein","Vic.",49,,,,
,"Gorton","Vic.",166,,,,
,"Grayndler","NSW",32,,,,
,"Greenway","NSW",84,,,,
,"Grey","SA",904881,,,,
,"Griffith","Qld",60,,,,
,"Groom","Qld",5594,,,,
,"Hasluck","WA",245,,,,
,"Herbert","Qld",946,,,,
,"Higgins","Vic.",39,,,,
,"Hindmarsh","SA",78,,,,
,"Hinkler","Qld",3504,,,,
,"Holt","Vic.",145,,,,
,"Hotham","Vic.",72,,,,
,"Hughes","NSW",178,,,,
,"Hume","NSW",33637,,,,
,"Hunter","NSW",20111,,,,
,"Indi","Vic.",28008,,,,
,"Isaacs","Vic.",171,,,,
,"Jagajaga","Vic.",87,,,,
,"Kennedy","Qld",568993,,,,
,"Kingsford Smith","NSW",127,,,,
,"Kingston","SA",171,,,,
,"Kooyong","Vic.",49,,,,
,"La Trobe","Vic.",588,,,,
,"Lalor","Vic.",991,,,,
,"Leichhardt","Qld",148988,,,,
,"Lilley","Qld",147,,,,
,"Lindsay","NSW",339,,,,
,"Lingiari","NT",1347849,,,,
,"Longman","Qld",1239,,,,
,"Lyne","NSW",11991,,,,
,"Lyons","Tas.",32910,,,,
,"Macarthur","NSW",798,,,,
,"Mackellar","NSW",233,,,,
,"Macquarie","NSW",4374,,,,
,"Makin","SA",130,,,,
,"Mallee","Vic.",70694,,,,
,"Maranoa","Qld",731297,,,,
,"Maribyrnong","Vic.",71,,,,
,"Mayo","SA",9315,,,,
,"McEwen","Vic.",10675,,,,
,"McMahon","NSW",161,,,,
,"McMillan","Vic.",8328,,,,
,"McPherson","Qld",230,,,,
,"Melbourne","Vic.",53,,,,
,"Melbourne Ports","Vic.",44,,,,
,"Menzies","Vic.",119,,,,
,"Mitchell","NSW",101,,,,
,"Moncrieff","Qld",92,,,,
,"Moore","WA",133,,,,
,"Moreton","Qld",111,,,,
,"Murray","Vic.",16229,,,,
,"New England","NSW",59344,,,,
,"Newcastle","NSW",354,,,,
,"North Sydney","NSW",48,,,,
,"O'Connor","WA",908954,,,,
,"Oxley","Qld",155,,,,
,"Page","NSW",16143,,,,
,"Parkes","NSW",256643,,,,
,"Parramatta","NSW",56,,,,
,"Paterson","NSW",6652,,,,
,"Pearce","WA",14401,,,,
,"Perth","WA",78,,,,
,"Petrie","Qld",152,,,,
,"Port Adelaide","SA",181,,,,
,"Rankin","Qld",131,,,,
,"Reid","NSW",66,,,,
,"Richmond","NSW",2768,,,,
,"Riverina","NSW",61435,,,,
,"Robertson","NSW",978,,,,
,"Ryan","Qld",441,,,,
,"Scullin","Vic.",101,,,,
,"Shortland","NSW",205,,,,
,"Solomon","NT",326,,,,
,"Stirling","WA",77,,,,
,"Sturt","SA",85,,,,
,"Swan","WA",126,,,,
,"Sydney","NSW",91,,,,
,"Tangney","WA",96,,,,
,"Throsby","NSW",1422,,,,
,"Wakefield","SA",6407,,,,
,"Wannon","Vic.",33854,,,,
,"Warringah","NSW",73,,,,
,"Watson","NSW",42,,,,
,"Wentworth","NSW",30,,,,
,"Werriwa","NSW",159,,,,
,"Wide Bay","Qld",14573,,,,
,"Wills","Vic.",57,,,,
,"Wright","Qld",7589,,,,
