member_id,electorate
"008K0","Holt"
"008KO","Holt"
"009C3","PO"
"009CW","Isaacs"
"009LP","New England"
"00AKI","Dickson"
"00AMM","Cowper"
"00AMN","Farrer"
"00AMO","Macarthur"
"00AMP","Newcastle"
"00AMQ","Wentworth"
"00AMR","Ballarat"
"00AMT","Calwell"
"00AMU","Indi"
"00AMV","Flinders"
"00AMX","Ryan"
"00AN0","Moncrieff"
"00AN1","Calare"
"00AN1","Parkes"
"00AN2","Hasluck"
"00AN3","Burke"
"00AN3","Gorton"
"00AN4","Solomon"
"00ANF","Dobell"
"00APG","Casey"
"00ATG","Maribyrnong"
"0J4","Berowra"
"0K6","Macquarie"
"0L6","Makin"
"0V5","Fisher"
"1000","PO"
"10000","PO"
"139441","Flynn"
"140651","Robertson"
"159771","Greenway"
"172770","La Trobe"
"188315","Forde"
"1K6","Dunkley"
"210911","Wannon"
"217266","Ryan"
"219646","Riverina"
"220370","Solomon"
"230485","Dawson"
"230531","Wright"
"230886","McPherson"
"2K6","Longman"
"2V5","Lilley"
"30540","Canberra"
"3E4","Moncrieff"
"3H4","Casey"
"3J4","Port Adelaide"
"3K6","Parramatta"
"3V5","Cowan"
"4G4","Mayo"
"4I4","Watson"
"4K4","Gwydir"
"4K6","Page"
"4T4","Banks"
"4V5","Pearce"
"5A5","Charlton"
"5I4","Canberra"
"5I4","Fraser"
"5K6","Canberra"
"5K6","Namadgi"
"5M6","Northern Territory"
"5T4","Kingsford Smith"
"5T4","Kingsford-Smith"
"5V5","Perth"
"6J4","Bowman"
"6K6","Forde"
"6V5","Stirling"
"7K6","Leichhardt"
"7T4","Prospect"
"7V5","Tangney"
"81S","Macquarie"
"834","Parkes"
"83A","Capricornia"
"83B","McPherson"
"83C","Stirling"
"83D","Lowe"
"83D","Reid"
"83E","Oxley"
"83K","Gellibrand"
"83L","Lalor"
"83M","Sydney"
"83N","Shortland"
"83O","Riverina"
"83P","Curtin"
"83Q","Hume"
"83R","Cowan"
"83S","Chisholm"
"83T","Griffith"
"83U","Kingston"
"83V","Rankin"
"83W","Canning"
"83X","Bendigo"
"83Y","Charlton"
"83Z","Fowler"
"848","Barker"
"849","Braddon"
"84B","New England"
"84C","Blair"
"84F","Moore"
"84G","Swan"
"84H","McMillan"
"84S","Bass"
"84T","Durack"
"84T","Kalgoorlie"
"885","Wentworth"
"8E4","Casey"
"8E4","Chisholm"
"8H4","Wannon"
"8I4","Cunningham"
"8IS","Macquarie"
"8K6","Hunter"
"8T4","Reid"
"8T4","Werriwa"
"8V5","Adelaide"
"8W5","Brand"
"91219","Chifley"
"96430","Herbert"
"99931","Hughes"
"9K6","Brisbane"
"9K6","Petrie"
"9V5","Sturt"
"9V8","Ryan"
"A8W","Aston"
"A9B","Throsby"
"AE4","Cowper"
"AH4","Riverina"
"AJ4","Hume"
"AK6","Gilmore"
"AV5","Franklin"
"B36","Robertson"
"BI4","Braddon"
"BK6","Oxley"
"BNL","Cunningham"
"BP4","Bennelong"
"BT4","Goldstein"
"BU8","Fraser"
"BV5","Lyons"
"C2T","Denison"
"CE4","Burke"
"CF4","Kalgoorlie"
"CH4","Melbourne Ports"
"CK6","Moreton"
"COO","PO"
"CT4","Higgins"
"CU4","Hindmarsh"
"DG4","Farrer"
"DH4","Throsby"
"DK6","North Sydney"
"DT4","Hotham"
"DVB","PO"
"DYH","Bass"
"DYK","Braddon"
"DYN","Tangney"
"DYU","Wakefield"
"DYW","Watson"
"DZP","Cunningham"
"DZS","McMahon"
"DZS","Prospect"
"DZU","Adelaide"
"DZW","Richmond"
"DZY","Hindmarsh"
"E07","Greenway"
"E07","Macquarie"
"E09","Parramatta"
"E0B","Kingston"
"E0D","Bonner"
"E0F","La Trobe"
"E0H","Bowman"
"E0J","Stirling"
"E0L","Hasluck"
"E3L","Cook"
"ECV","Fowler"
"ECV","Werriwa"
"EI4","Ryan"
"EK6","Kingston"
"EM6","Murray"
"EP5","South Australia"
"ET4","Brisbane"
"EZ5","Warringah"
"FB6","Wentworth"
"FI4","Newcastle"
"FK6","Dawson"
"FKL","Kooyong"
"FT4","McPherson"
"FU4","Goldstein"
"G5F","PO"
"GJ4","Bass"
"GK6","Lindsay"
"GT4","Wide Bay"
"HE4","Wakefield"
"HH4","Scullin"
"HI4","Shortland"
"HK5","Menzies"
"HK6","Herbert"
"HM5","Kooyong"
"HQ5","Macarthur"
"HRI","Eden-Monaro"
"HT4","Barker"
"HV4","Kingsford Smith"
"HV5","Grey"
"HVM","Dawson"
"HVN","Petrie"
"HVO","Blair"
"HVP","Moreton"
"HVQ","Forde"
"HVR","Bonner"
"HVS","Longman"
"HVU","Flynn"
"HVV","Leichhardt"
"HVW","Lindsay"
"HVY","Page"
"HVZ","Dobell"
"HW7","Corangamite"
"HW8","Deakin"
"HW9","Wakefield"
"HWA","Kingston"
"HWB","Makin"
"HWC","Bass"
"HWD","Solomon"
"HWE","Cowan"
"HWG","Isaacs"
"HWK","Port Adelaide"
"HWK","Port-Adelaide"
"HWL","Blaxland"
"HWM","Franklin"
"HWN","Parkes"
"HWO","Mitchell"
"HWP","Forrest"
"HWQ","Corio"
"HWR","Fremantle"
"HWS","Grey"
"HWT","Fadden"
"HX4","Kennedy"
"HYM","Swan"
"IJ4","Lingiari"
"IJ4","Northern Territory"
"IK6","Robertson"
"IPZ","Gippsland"
"IYS","Lyne"
"IYU","Mayo"
"JH5","Throsby"
"JK6","Barton"
"JT4","McEwan"
"JT4","McEwen"
"JX4","South Australia"
"K26","Werriwa"
"KH4","Lalor"
"KK6","Griffith"
"KL6","Calare"
"KP6","Fraser"
"KV5","Hinkler"
"L6B","Bradfield"
"LK6","Capricornia"
"LKU","Higgins"
"LL6","Paterson"
"LN6","Blaxland"
"LS4","Batman"
"M2V","Macarthur"
"M2X","Longman"
"M2Y","Aston"
"M38","Bass"
"M3A","Hasluck"
"M3C","Melbourne"
"M3E","McEwen"
"M3K","O'Connor"
"M3K","O’Connor"
"M3M","Bennelong"
"MD4","Sydney"
"MF4","Parkes"
"MG4","Dobell"
"MH4","Fadden"
"MK6","Greenway"
"ML6","Lilley"
"MP6","Cook"
"MT4","McMillan"
"N36","Bonython"
"NK6","Cook"
"NL6","Canning"
"NV5","Mallee"
"OJ4","Groom"
"OK6","Eden-Monaro"
"OT4","La Trobe"
"OT4","LaTrobe"
"PE4","Brand"
"PG6","Jagajaga"
"PK6","Canning"
"PK6","Swan"
"QE4","Rankin"
"QI4","Chifley"
"QJ4","Calwell"
"QK6","Maribyrnong"
"QT2","PO"
"QT4","Moore"
"R36","Grayndler"
"R56","PO"
"RH4","Denison"
"RI4","Forrest"
"RW5","Bradfield"
"SD4","Mitchell"
"SE4","Mackellar"
"SJ4","O'Connor"
"SJ4","O’Connor"
"SK6","Dickson"
"SU5","Lyne"
"TK6","Boothby"
"UK6","Wills"
"UT4","Aston"
"UU5","Paterson"
"V5","Bruce"
"VD4","Holt"
"VH4","Corangamite"
"VK6","Hughes"
"VT4","Bendigo"
"VU5","Bruce"
"WF6","Melbourne Ports"
"WH4","Victoria"
"WI4","Flinders"
"WN6","Groom"
"WU5","Corio"
"WW4","Victoria"
"XH4","Gippsland"
"XJ6","Richmond"
"XK6","Bowman"
"XS4","Fremantle"
"XT4","Ballarat"
"XU5","Indi"
"XW4","Dickson"
"YK6","Isaacs"
"YT4","Maranoa"
"YU5","Melbourne"
"YW6","Charlton"
"ZD4","Bennelong"
"ZG4","Fowler"
"ZI4","Curtin"
"ZJ4","Gellibrand"
"ZJ6","Deakin"
"ZK6","Lowe"
"ZT4","Fairfax"
